date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:12:18	41612/41612	------	200	untouched ('OK')	text/html	date:Tue,%2028%20May%202019%2004:00:31%20GMT	https://laravel.com/docs/5.8/urls	B:/doc5..release/laravel.com/docs/5.8/urls.html	(from https://laravel.com/docs/5.8)
06:12:18	47596/47596	------	200	untouched ('OK')	text/html	date:Tue,%2028%20May%202019%2004:00:32%20GMT	https://laravel.com/docs/5.8/session	B:/doc5..release/laravel.com/docs/5.8/session.html	(from https://laravel.com/docs/5.8)
06:12:19	93603/93603	------	200	untouched ('OK')	text/html	date:Tue,%2028%20May%202019%2004:00:32%20GMT	https://laravel.com/docs/5.8/validation	B:/doc5..release/laravel.com/docs/5.8/validation.html	(from https://laravel.com/docs/5.8)
06:12:19	41883/41883	------	200	untouched ('OK')	text/html	date:Tue,%2028%20May%202019%2004:00:33%20GMT	https://laravel.com/docs/5.8/errors	B:/doc5..release/laravel.com/docs/5.8/errors.html	(from https://laravel.com/docs/5.8)
06:12:19	48349/48349	------	200	untouched ('OK')	text/html	date:Tue,%2028%20May%202019%2004:00:34%20GMT	https://laravel.com/docs/5.8/logging	B:/doc5..release/laravel.com/docs/5.8/logging.html	(from https://laravel.com/docs/5.8)
06:12:20	62744/62744	------	200	untouched ('OK')	text/html	date:Tue,%2028%20May%202019%2004:00:35%20GMT	https://laravel.com/docs/5.8/blade	B:/doc5..release/laravel.com/docs/5.8/blade.html	(from https://laravel.com/docs/5.8)
06:12:20	42035/42035	------	200	untouched ('OK')	text/html	date:Tue,%2028%20May%202019%2004:00:35%20GMT	https://laravel.com/docs/5.8/localization	B:/doc5..release/laravel.com/docs/5.8/localization.html	(from https://laravel.com/docs/5.8)
06:12:20	41343/41343	------	200	untouched ('OK')	text/html	date:Tue,%2028%20May%202019%2004:00:38%20GMT	https://laravel.com/docs/5.8/frontend	B:/doc5..release/laravel.com/docs/5.8/frontend.html	(from https://laravel.com/docs/5.8)
06:12:21	52376/52376	------	200	untouched ('OK')	text/html	date:Tue,%2028%20May%202019%2004:00:39%20GMT	https://laravel.com/docs/5.8/mix	B:/doc5..release/laravel.com/docs/5.8/mix.html	(from https://laravel.com/docs/5.8)
06:12:21	67609/67609	------	200	untouched ('OK')	text/html	date:Tue,%2028%20May%202019%2004:00:39%20GMT	https://laravel.com/docs/5.8/authentication	B:/doc5..release/laravel.com/docs/5.8/authentication.html	(from https://laravel.com/docs/5.8)
