date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:00:49	55793/55793	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20May%202019%2004:00:26%20GMT	https://laravel.com/docs/5.8/routing	B:/doc5..release/laravel.com/docs/5.8/routing.html	(from https://laravel.com/docs/5.8)
06:00:50	45154/45154	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20May%202019%2004:00:27%20GMT	https://laravel.com/docs/5.8/middleware	B:/doc5..release/laravel.com/docs/5.8/middleware.html	(from https://laravel.com/docs/5.8)
06:00:51	38167/38167	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20May%202019%2004:00:28%20GMT	https://laravel.com/docs/5.8/csrf	B:/doc5..release/laravel.com/docs/5.8/csrf.html	(from https://laravel.com/docs/5.8)
06:00:51	51311/51311	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20May%202019%2004:00:29%20GMT	https://laravel.com/docs/5.8/controllers	B:/doc5..release/laravel.com/docs/5.8/controllers.html	(from https://laravel.com/docs/5.8)
06:00:52	54352/54352	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20May%202019%2004:00:29%20GMT	https://laravel.com/docs/5.8/requests	B:/doc5..release/laravel.com/docs/5.8/requests.html	(from https://laravel.com/docs/5.8)
06:00:52	49472/49472	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20May%202019%2004:00:29%20GMT	https://laravel.com/docs/5.8/responses	B:/doc5..release/laravel.com/docs/5.8/responses.html	(from https://laravel.com/docs/5.8)
06:00:53	42186/42186	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20May%202019%2004:00:30%20GMT	https://laravel.com/docs/5.8/views	B:/doc5..release/laravel.com/docs/5.8/views.html	(from https://laravel.com/docs/5.8)
06:00:54	41612/41612	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20May%202019%2004:00:31%20GMT	https://laravel.com/docs/5.8/urls	B:/doc5..release/laravel.com/docs/5.8/urls.html	(from https://laravel.com/docs/5.8)
06:00:55	47596/47596	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20May%202019%2004:00:32%20GMT	https://laravel.com/docs/5.8/session	B:/doc5..release/laravel.com/docs/5.8/session.html	(from https://laravel.com/docs/5.8)
06:00:55	93603/93603	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20May%202019%2004:00:32%20GMT	https://laravel.com/docs/5.8/validation	B:/doc5..release/laravel.com/docs/5.8/validation.html	(from https://laravel.com/docs/5.8)
06:00:56	41883/41883	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20May%202019%2004:00:33%20GMT	https://laravel.com/docs/5.8/errors	B:/doc5..release/laravel.com/docs/5.8/errors.html	(from https://laravel.com/docs/5.8)
06:00:57	48349/48349	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20May%202019%2004:00:34%20GMT	https://laravel.com/docs/5.8/logging	B:/doc5..release/laravel.com/docs/5.8/logging.html	(from https://laravel.com/docs/5.8)
06:00:58	62744/62744	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20May%202019%2004:00:35%20GMT	https://laravel.com/docs/5.8/blade	B:/doc5..release/laravel.com/docs/5.8/blade.html	(from https://laravel.com/docs/5.8)
06:00:58	42035/42035	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20May%202019%2004:00:35%20GMT	https://laravel.com/docs/5.8/localization	B:/doc5..release/laravel.com/docs/5.8/localization.html	(from https://laravel.com/docs/5.8)
06:01:01	41343/41343	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20May%202019%2004:00:38%20GMT	https://laravel.com/docs/5.8/frontend	B:/doc5..release/laravel.com/docs/5.8/frontend.html	(from https://laravel.com/docs/5.8)
06:01:02	52376/52376	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20May%202019%2004:00:39%20GMT	https://laravel.com/docs/5.8/mix	B:/doc5..release/laravel.com/docs/5.8/mix.html	(from https://laravel.com/docs/5.8)
